Vp,Vg,Ia
288.075,-4.0,30.8617
288.788,-4.0,31.0051
289.227,-4.0,31.0998
289.588,-4.0,31.1799
290.906,-4.0,31.4736
291.231,-4.0,31.5429
291.904,-4.0,31.6775
292.059,-4.0,31.7067
292.119,-4.0,31.7178
292.685,-4.0,31.8167
292.963,-4.0,31.8625
294.215,-4.0,32.0596
294.414,-4.0,32.0911
294.601,-4.0,32.1213
295.039,-4.0,32.1951
295.365,-4.0,32.2552
295.857,-4.0,32.3576
296.361,-4.0,32.4771
297.388,-4.0,32.7286
297.735,-4.0,32.8038
298.358,-4.0,32.9229
298.684,-4.0,32.9804
298.82,-4.0,33.0039
299.172,-4.0,33.0637
299.675,-4.0,33.149
299.73,-4.0,33.1584
299.798,-4.0,33.17
300.276,-4.0,33.2537
300.829,-4.0,33.3565
301.461,-4.0,33.4857
302.896,-4.0,33.8195
302.963,-4.0,33.8362
303.027,-4.0,33.8521
303.845,-4.0,34.0582
86.159,-6.0,0.162
87.445,-6.0,0.1948
87.458,-6.0,0.1951
88.595,-6.0,0.2242
89.379,-6.0,0.2446
91.985,-6.0,0.3144
92.807,-6.0,0.3376
93.179,-6.0,0.3483
94.304,-6.0,0.3821
94.915,-6.0,0.4015
95.022,-6.0,0.405
97.419,-6.0,0.4892
98.304,-6.0,0.5228
99.253,-6.0,0.5594
99.935,-6.0,0.5855
101.103,-6.0,0.6296
101.74,-6.0,0.6539
103.316,-6.0,0.7179
105.355,-6.0,0.8146
105.477,-6.0,0.8209
105.903,-6.0,0.8438
107.034,-6.0,0.9077
109.081,-6.0,1.0293
110.103,-6.0,1.0898
110.328,-6.0,1.103
111.463,-6.0,1.1669
111.486,-6.0,1.1681
112.945,-6.0,1.2425
113.892,-6.0,1.287
114.69,-6.0,1.3234
114.776,-6.0,1.3273
116.169,-6.0,1.3912
116.799,-6.0,1.4214
118.033,-6.0,1.4844
118.83,-6.0,1.5274
119.271,-6.0,1.5519
120.35,-6.0,1.6138
120.753,-6.0,1.6376
121.967,-6.0,1.7113
122.692,-6.0,1.7567
123.38,-6.0,1.8007
123.778,-6.0,1.8264
125.018,-6.0,1.9075
127.338,-6.0,2.0586
127.897,-6.0,2.0939
128.631,-6.0,2.1388
128.642,-6.0,2.1395
129.374,-6.0,2.1826
130.345,-6.0,2.238
131.848,-6.0,2.3268
132.842,-6.0,2.3919
133.8,-6.0,2.4615
135.129,-6.0,2.5687
135.147,-6.0,2.5701
135.542,-6.0,2.6036
136.911,-6.0,2.7216
136.923,-6.0,2.7227
137.863,-6.0,2.8041
138.451,-6.0,2.8543
139.787,-6.0,2.9628
140.273,-6.0,2.999
140.813,-6.0,3.0368
140.892,-6.0,3.0422
141.668,-6.0,3.0931
143.152,-6.0,3.192
144.103,-6.0,3.2685
144.452,-6.0,3.3009
144.631,-6.0,3.3182
145.194,-6.0,3.3755
145.731,-6.0,3.4329
145.886,-6.0,3.4498
148.384,-6.0,3.7147
148.65,-6.0,3.7391
149.08,-6.0,3.7759
149.522,-6.0,3.8111
150.847,-6.0,3.9108
151.863,-6.0,3.9916
151.975,-6.0,4.0009
