x,Ec=0V,Ec=-1V,Ec=-2V,Ec=-3V,Ec=-4V,Ec=-5V,Ec=-6V,Ec=-7V,Ec=-8V,Ec=-9V,Ec=-10V,Ec=-11V,Ec=-12V,Ec=-13V,Ec=-14V,Ec=-15V,Ec=-16V
209.887,,,,,,,,,,,,29.961,,,,,
209.956,,,,,,,,,,,,,,,,3.792,
210.005,,,,,,,,,,,,,,,6.002,,
210.06,,,,,,,,,,58.044,,,,,,,
210.097,,,,,,,,,,,,,,,,,2.157
210.275,,,,,,,,,,,,,,11.829,,,
211.25,,,,,,,,,,,,,19.972,,,,
211.463,,,,,,,,,,59.403,,,,,,,
212.174,,,,,,,,,,,44.055,,,,,,
212.682,,,,,,,,,,,,31.998,,,,,
214.339,,,,,,,,,,,,,21.981,,,,
214.378,,,,,,,,,,,,,,14.043,,,
214.478,,,,,,,,,,,46.06,,,,,,
214.739,,,,,,,,,,,,,,,7.519,,
214.818,,,,,,,,,,,,,,,,4.44,
215.046,,,,,,,,,,,,34.027,,,,,
215.075,,,,,,,,,,,,,,,,,2.659
217.01,,,,,,,,,,,48.03,,,,,,
217.473,,,,,,,,,,,,,23.973,,,,
217.908,,,,,,,,,,,,36.055,,,,,
218.192,,,,,,,,,,,,,,15.989,,,
218.533,,,,,,,,,,,,,,,9.07,,
219.712,,,,,,,,,,,50.146,,,,,,
219.845,,,,,,,,,,,,,25.51,,,,
219.912,,,,,,,,,,,,,,,,,3.182
220.075,,,,,,,,,,,,,,,,5.404,
220.476,,,,,,,,,,,,38.065,,,,,
221.461,,,,,,,,,,,,,,17.999,,,
222.301,,,,,,,,,,,,,,,10.418,,
223.181,,,,,,,,,,,,40.039,,,,,
223.243,,,,,,,,,,,,,27.984,,,,
224.934,,,,,,,,,,,,,,19.981,,,
224.974,,,,,,,,,,,,,,,,,3.796
225.13,,,,,,,,,,,,,,,,6.457,
225.499,,,,,,,,,,,,,,,11.756,,
225.793,,,,,,,,,,,,42.086,,,,,
226.218,,,,,,,,,,,,,30.003,,,,
